['N0Sofa_00145_01', 'N3OpenArea_00157_02', 'Werkraum_03516_02', 'N3OpenArea_03301_01', 'MPH1Library_00034_01', 'N3Library_00157_02', 'N3Office_00159_01', 'MPH11_00150_01', 'N0Sofa_00034_02', 'N3Library_03403_01', 'MPH112_00169_01', 'N0Sofa_00141_01', 'N3Library_03375_01', 'MPH112_00150_01', 'N3OpenArea_00158_01', 'Werkraum_03403_01', 'N3OpenArea_03403_01', 'N3Library_00157_01', 'Werkraum_03516_01', 'MPH11_00034_01', 'MPH11_00151_01', 'N3Library_03403_02', 'MPH112_00157_01', 'N3Office_00150_01', 'N0Sofa_00034_01', 'N0SittingBooth_03301_01', 'MPH16_00157_01', 'N3Library_03301_02', 'N3Office_00034_01', 'N3Library_03301_01', 'Werkraum_03301_01', 'N3Office_00139_01', 'MPH112_00034_01', 'N3Office_00153_01', 'N3Office_03301_01', 'N0SittingBooth_03403_01', 'N3Library_03375_02', 'MPH11_03515_01', 'MPH112_00151_01', 'MPH8_00168_01', 'N3OpenArea_00157_01', 'N0SittingBooth_00169_01', 'BasementSittingBooth_00142_01']




BasementSittingBooth_00142_01,1-100 x walking slowly near a fourseater;101-150 turning slowly around and looking up directly near a fourseater and a table;170-280 x pointing fingers in the air and then looking down and pointing fingers down and then sitting down;282-311 sitting down on the fourseater in the middle facing forward;312-348 seated on the fourseater in the middle; 348-368 thumping hands on the table while being seated in the middle of the sofa;391-441 reaching for a paper on the table and reading;442-530 reaching for pen on the table and writing on the paper using left hand; 545-610 sitting while hands resting on the table;617-1102 bringing the pen to write on the paper and writing on paper using left hand while moving head, 640-662 changing position on the fourseater by slighlting raising the body;1103-1141 getting up from sitting position on the fourseater while looking down and holding paper and pen in hand; 1142-1175 holding paper and raising it in the air using and extending the right hand;1176-1187 turning corner around the table inside the fourseater;1187-1207 sitting down on the fourseater on the right with head to the back,1211-1415 writing on paper using left hand on the table,1428-1540 extending and raising both hands to the side, 1541-1570 standing up from sitting position on the fourseater

BasementSittingBooth_00145_01,95-160 turning left and walking towards the fourseater;187-280 9 dancing while standing near the table and front of the fourseater;285-338 sitting down on the fourseater on the left with face facing forward;360-442 reaching for paper on the table using right hand;442-512 reaching for a pen on the table using the left hand;513-525 lifting paer off the table using the right hand, 526-549 putting paper on the table using the right hand;550-566 lifting paer off the table using the right hand; 567-580 putting paper down on the table,581-660 swiping right hand on the table and later both hands,680-838 writing on paper using left hand;878-892 putting down pen on the table; 890-942 standing up from sitting pisiton in the middle of the fourseater facing forward;943-962 sitting down on the fourseater,962-1020 going from sitting down to lying back on the fourseater while head and back are leaning on the back of the fourseater on the right end; 1009-1049 crossing legs while in lying back position, 1050-1180 in lying back position with occasional hand gestures; 1181-1236 getting up from lying back position;1256-1328 lying back on the fourseater on the left end with legs in angled position;1329-1350 crossing legs while in lying back and legs are in angled position;1351-1480 in lying back position with legs crossed in angled position,1488-1504 raising both hand in upright position;1511-1550 getting up from lying back position on the fourseater on the left end; 1551-1580 standing up with right hand leaning on the table in front;1590-1685 climbing on the fourseater in the middle; 1705-1746 extending both hands after climbing the fourseater; 1778-1845 climbing don the fourseater;1859-1908 sittig down on the fourseater on the left side facing forward;1925-2126 putting hand on the table while in seated position and resting face on the hand;2167-2182 getting up from sitting position on the fourseater in the middle. 


MPH1Library_00034_01, 50-77 turning 90 degree around facing front to the left; 127-198 sitting down on chair placed at the table while facing away from the table and places left hand on table, 200-233 turning head while in seated position;245-267 reaching for book on table; 290-320 lifting book off table; 321-577 reading book; 430-454 putting book down on table;610-630 placing both hands on table prepare to get up from sitting position; 619-657 getting from from sitting position on a chair at the front of the table;680-695 turning 90 degree to the from east to north; 700-767 walking near chair at the table from south to north;776-820 bending back slightly in order to lean on table and looking down at books on the table; 921-947 going from leaning on table to upright standing position;965-1055 sitting down on a chair on the far north end of the table; 1156-1187 reaching hand for books on table;1227-1264 getting up from sitting position on chair at the table;1291-1312 turing 90 degrees around fro east to north; 1360-1416 walking and turning corner at the far north end of the table; 1417-1480 sitting down at the a chair at table at the for north end facing forward with hands placed at table;1470-1496 turning head 90 degree to the west; 1497-1509 turning head 90 degrees to the east; 1504-1570 leaning back while sitting on a chair; 1573-1614 extending and raising both hands to the side;1647-1668 lowering raised hands while in seated position after extending and stretching hands; 1682-1694 turning head 90 degrees to the west;1695-1760 getting up from sitting position while placing hands on table; 1779-1818 walking near chairs at the table at the far north end of the table; 1810-1869 turning corner at the table at the far north-east side;1870-1909 placing hands and leaning at table with back bent over; 1943-1965 going from leaning on table to upright standing position; 1947-2033 climbing a chair on the far north end of the table on the side while facing forward; 2055-2120 climbing down chair; 2135-2153 lowering hands that were extended to the sides;2193-2211 turning head 90 degrees to the left while facing forward

MPH8_00168_01, 55-80 turning head 90 degrees to the right with face facing forward;  81-140 sitting down on bed; 250-335 reaching for pocket and taking mobile phone out; 336-508 using phone; 509-560 getting up from sitting position on bed; 577-609 walking from bed after standing up towards the red sofa; 611-650 sitting down on sofa on its right end;651-748 going from sitting to lying down on the red sofa; 748-988 in lying position on the sofa;989-1050 raising both hands above head in the air and stretching while lying down; 1081-1117 lowering hands from upright position above head; 1118-1257 in lying position on the red sofa; 1258-1301 getting up from lying position on the red sofa to sitting down; 1302-1364 changing positions on sofa by moving slightly to the left; 1477-1506 placing hands on  table as if reaching for something while in seated position on the red sofa; 1506-1666 drumming hands on table; 1670-1706 getting up from sitting position on the red sofa while leaning on table; 1707-1749 in leaning position on table after getting up from sitting position; 1750-1765 straightening up from slightly bending position on table; 1765-1800 walking around the table and reaching a a black chair; 1821-1880 sitting down on black chair at the table with face facing forward; 1881-1994 reaching inside pocket while sitting down in a chair at the table; 1995-2289 using phone while sitting down at chair at the table; 2340-2400 getting up from sitting position at chair at the table; 2580-2727 extending both hands while standing towards the wall and then placing them on the wall;2780-2890 bending slightly towards a small monitor table to pick up something; 2891-2920 turning head slightly to face forward and straightening up; 2990-3030 walking a small distance toward the camera


MPH11_00034_01, 21-61 turning body 90 degrees; 61-93 bending over the sofa on the left side; 94-114 straightening up from bending position over sofa; 120-160 bending over the sofa in the middle;161-183 straightening up from bending position over sofa; 190-203 turning 90 degrees with face facing backward; 204-268 walking towards black chair at the desk;280-345 sitting down in office chair at desk; 349-411 extending right hand while facing backward towards something on the desk;  436-464 getting up from sitting position at office chair;  511-533 turning around 90 degrees to face forward after inspecting monitor at desk; 534-560 turning about 135 degrees towards chair at desk; 572-686 climbing office chair followed by desk; 715-730 lowering both hands to the side after they were raised to the left and right sides; 747-836 climbing down off the desk towards chair and then floor; 848-870 walkig straight and then turning towards wall; 870-910 extending the left hand towards the the right wall; 911-970 bending down to touch something; 971-1000 straightening up from bending position; 1010-1045 walking in horizontal line towards te sofa; 1046-1100 climbing on the sofa; 1106-1168 jumping on sofa;1169-1202 climbing down off the sofa; 1203-1260 sitting down on sofa;  1261-1330 crossing legs while sitting on sofa; 1335-1354 uncrossing legs while sitting on sofa; 1370-1393 changing position slightly on sofa further away from camera; 1410-1474 crossing legs while sitting on sofa; 1503-1527 uncrossing legs while sitting on sofa; 1543-1671 going from sitting to lying down on sofa; 1772-1830 getting up from lying position on sofa; 1866-1893 getting up from sitting position on sofa;1906-1941 walking away from sofa towards small cabinet closer to the camera with face facing forward; 1951-2001 sitting down on the small cabinet; 2086-2109 getting up from sitting position on the cabinet;2110-2150 walking away from the cabinet;2150-2172 turning slightly



MPH11_00150_01, 31-59 turning 90 degrees around; 57-88 walking horizontally towards sofa; 90-140 sitting down on sofa on the left end closer to camera; 132-172 crossing legs while sitting on sofa; 158-197 reaching for phone inside pocket and taking it out; 198-358 using phone; 334-365 uncrossing legs while in seated position on sofa; 366-410 getting up from sitting position on sofa; 412-523 walking away from sofa towards office chair at desk;423-583 sitting down at office chair; 558-581 reaching for phone on desk; 583-726 speaking on land line phone with head facing backward;746-785 placing landline phone handle back on desk;832-862 standing up from sitting position on office chair;900-1060 opening and reading book on desk while in standing position and head facing backward;  1099-1126 walking in straight line from chair towards cabinet attached to the desk;1126-1226 opening cabinet door;1238-1281 closing cabinet door; 1306-1393 walking along desk from one end to end and around the office chair; 1389-1409 reaching for remote control on desk while in standing position;1548-1576 placing remote control back on the desk while in standing position;1730-1780 sitting down in office chair on desk with head facing backward; 1810-1859 getting up from sitting position on office chair; 1880-1905 reaching for remote control on desk while in standing position; 2065-2094 placing remote control back on desk while in standing position; 2084-2104 turning slightly around; 2113-2185 walking away from the desk closer towards the camera


MPH11_00151_01, 90-155 sitting down on sofa; 177-220 getting up from sitting position on sofa; 230-301 walking; 307-368 sitting down in office chair;420-440 turning head around to face foward while in sitting position on chair facing backward; 480-501 turning head around to face backward while in sitting position on chair facing forward; 528-562 reaching for phone on desk while being seated at desk; 573-630 talking using land line phone with head facing backward while sitting on desk; 631-675 putting phone handle back on desk while in seated position on desk; 719-749 getting up from sitting position on office chair; 750-773 turning around; 774-873 walking away from desk towards sofa; 904-954 turning around while standing near sofa; 955-970 turning around while standing near sofa;971-1010 sitting down on sofa on the far end; 1011-1054 crossing legs; 1055-1082 uncrossing legs while being seated on sofa; 1112-1141 crossing legs while being seated on sofa; 1142-1181 uncrossing legs while being seated on sofa;1182-1270 going from sitting to lying down on sofa; 1271-1315 getting up from lying position on sofa; 1350-1380 going from sitting position on sofa to standing up; 1383-1434 walking away from the sofa towards the camera


